Date,Open,High,Low,Close,Volume
11/2/2017,257.410004,257.75,256.190002,257.589996,56449500
11/3/2017,257.769989,258.5,257.299988,258.450012,59589700
11/6/2017,258.299988,259,258.220001,258.850006,49652600
11/7/2017,258.970001,259.350006,258.089996,258.670013,57502200
11/8/2017,258.470001,259.220001,258.149994,259.109985,50469600
11/9/2017,257.730011,258.390015,256.359985,258.170013,95085500
11/10/2017,257.730011,258.290009,257.369995,258.089996,59984700
11/13/2017,257.309998,258.589996,257.269989,258.329987,50228600
11/14/2017,257.410004,257.850006,256.519989,257.730011,61315200
11/15/2017,256.619995,257.220001,255.630005,256.440002,80811500
11/16/2017,257.519989,259.040009,257.470001,258.619995,67777000
11/17/2017,258.220001,258.589996,257.769989,257.859985,75756800
11/20/2017,258.140015,258.519989,257.859985,258.299988,48075500
11/21/2017,259.179993,260.200012,258.26001,259.98999,69176800
11/22/2017,260,260.149994,259.570007,259.76001,45033400
11/24/2017,260.320007,260.480011,260.160004,260.359985,27856500
11/27/2017,260.410004,260.75,260,260.230011,52274900
11/28/2017,260.76001,262.899994,260.649994,262.869995,98971700
11/29/2017,263.019989,263.630005,262.200012,262.709991,77512100
11/30/2017,263.76001,266.049988,263.670013,265.01001,127894400
12/1/2017,264.76001,265.309998,260.76001,264.459991,164390900
12/4/2017,266.309998,266.799988,264.079987,264.140015,94040600
12/5/2017,263.190002,265.149994,263.040009,263.190002,77994500
12/6/2017,263.299988,263.730011,262.709991,263.23999,75898600
12/7/2017,264.070007,264.429993,262.940002,264.070007,77218600
12/8/2017,265.160004,265.519989,264.029999,265.51001,76563900
12/11/2017,266.309998,266.380005,265.480011,266.309998,83077500
12/12/2017,267.209991,267.320007,266.350006,266.779999,85195800
12/13/2017,267.059998,267.559998,266.649994,266.75,102905400
12/14/2017,267.089996,267.220001,265.600006,265.660004,100666700
12/15/2017,265.450012,267.040009,265.390015,266.51001,144610300
12/18/2017,268.100006,268.600006,267.980011,268.200012,83653600
12/19/2017,268.480011,268.529999,267.089996,267.170013,82382900
12/20/2017,268.269989,268.329987,266.690002,267.029999,76751500
12/21/2017,267.73999,268.390015,267.299988,267.579987,67032300
12/22/2017,267.600006,267.640015,266.899994,267.51001,78720900
12/26/2017,267.049988,267.440002,266.890015,267.190002,45244400
12/27/2017,267.380005,267.730011,267.01001,267.320007,57751000
12/28/2017,267.890015,267.920013,267.450012,267.869995,45116100
12/29/2017,268.529999,268.549988,266.640015,266.859985,96007400
1/2/2018,267.839996,268.809998,267.399994,268.769989,86655700
1/3/2018,268.959991,270.640015,268.959991,270.470001,90070400
1/4/2018,271.200012,272.160004,270.540009,271.609985,80636400
1/5/2018,272.51001,273.559998,271.950012,273.420013,83524000
1/8/2018,273.309998,274.100006,272.980011,273.920013,57319200
1/9/2018,274.399994,275.25,274.079987,274.540009,57254000
1/10/2018,273.679993,274.420013,272.920013,274.119995,69574300
1/11/2018,274.75,276.119995,274.559998,276.119995,62361500
1/12/2018,276.420013,278.109985,276.079987,277.920013,90816100
1/16/2018,279.350006,280.089996,276.179993,276.970001,106555100
1/17/2018,278.029999,280.049988,276.970001,279.609985,113258800
1/18/2018,279.480011,279.959991,278.579987,279.140015,100728000
1/19/2018,279.799988,280.410004,279.140015,280.410004,140920100
1/22/2018,280.170013,282.690002,280.109985,282.690002,91322400
1/23/2018,282.73999,283.619995,282.369995,283.290009,97084700
1/24/2018,284.019989,284.700012,281.839996,283.179993,134816100
1/25/2018,284.160004,284.269989,282.399994,283.299988,84587300
1/26/2018,284.25,286.630005,283.959991,286.579987,107743100
1/29/2018,285.929993,286.429993,284.5,284.679993,90118300
1/30/2018,282.600006,284.73999,281.220001,281.76001,131796400
1/31/2018,282.730011,283.299988,280.679993,281.899994,108364800
2/1/2018,281.070007,283.059998,280.679993,281.579987,90102500
2/2/2018,280.079987,280.230011,275.410004,275.450012,173174800
2/5/2018,273.450012,275.850006,263.309998,263.929993,294681800
2/6/2018,259.940002,269.700012,258.700012,269.130005,355026800
2/7/2018,268.5,272.359985,267.579987,267.670013,167376100
2/8/2018,268.01001,268.170013,257.589996,257.630005,246449500
2/9/2018,260.799988,263.609985,252.919998,261.5,283565300
2/12/2018,263.829987,267.01001,261.660004,265.339996,143736000
2/13/2018,263.970001,266.619995,263.309998,266,81223600
2/14/2018,264.309998,270,264.299988,269.589996,120735700
2/15/2018,271.570007,273.040009,268.769989,273.029999,111200300
2/16/2018,272.320007,275.320007,272.269989,273.109985,160420100
2/20/2018,272.029999,273.670013,270.5,271.399994,86369700
2/21/2018,271.899994,274.720001,269.940002,270.049988,98883700
2/22/2018,271.100006,273.049988,269.640015,270.399994,110511300
2/23/2018,271.790009,274.709991,271.25,274.709991,92766400
2/26/2018,275.929993,278.01001,275.26001,277.899994,86491400
2/27/2018,278.109985,278.920013,274.359985,274.429993,99099200
2/28/2018,275.679993,276.190002,271.290009,271.649994,121907800
3/1/2018,271.410004,273.170013,266,267.700012,176855100
3/2/2018,265.799988,269.720001,264.820007,269.079987,139083200
3/5/2018,267.730011,272.890015,267.609985,272.190002,97307400
3/6/2018,273.299988,273.390015,271.179993,272.880005,79213200
3/7/2018,270.420013,273.179993,270.200012,272.779999,87063500
3/8/2018,273.549988,274.23999,272.420013,274.100006,66901200
3/9/2018,275.700012,278.869995,275.339996,278.869995,113625300
3/12/2018,279.200012,279.910004,278.079987,278.519989,71924800
3/13/2018,279.839996,280.410004,276.029999,276.720001,91968900
3/14/2018,277.809998,278.019989,274.670013,275.299988,105895100
3/15/2018,275.880005,276.609985,274.429993,275,83433000
3/16/2018,274.5,275.390015,274.140015,274.200012,100343700
3/19/2018,273.350006,274.399994,268.619995,270.48999,109208400
3/20/2018,270.940002,271.670013,270.179993,270.950012,59757300
3/21/2018,270.899994,273.269989,270.190002,270.429993,78709600
3/22/2018,267.910004,268.869995,263.359985,263.670013,148785900
3/23/2018,264.170013,264.540009,257.829987,258.049988,183534800
3/26/2018,262.130005,265.429993,259.410004,265.109985,141956100
3/27/2018,266.170013,266.769989,258.839996,260.600006,129941400
3/28/2018,260.75,262.640015,258.579987,259.829987,146452300
3/29/2018,261.119995,265.26001,259.839996,263.149994,111601600
4/2/2018,262.549988,263.130005,254.669998,257.470001,186286300
4/3/2018,258.869995,261.309998,256.839996,260.769989,119956900
4/4/2018,256.75,264.359985,256.600006,263.559998,123715300
4/5/2018,265.549988,266.640015,264.320007,265.640015,82652600
4/6/2018,263.420013,265.109985,258,259.720001,179521200
4/9/2018,261.369995,264.839996,259.940002,261,105442900
4/10/2018,264.269989,266.040009,262.980011,265.149994,103529000
4/11/2018,263.470001,265.640015,263.390015,263.76001,91140200
4/12/2018,265.26001,267,265.059998,265.929993,68890500
4/13/2018,267.410004,267.540009,264.01001,265.149994,85079200
4/16/2018,267,268.200012,266.070007,267.329987,63405300
4/17/2018,269.329987,270.869995,268.75,270.190002,64682000
4/18/2018,270.690002,271.299988,269.869995,270.390015,57303900
4/19/2018,269.649994,269.880005,267.720001,268.890015,77655900
4/20/2018,268.809998,269.059998,265.609985,266.609985,99953100
4/23/2018,267.26001,267.890015,265.350006,266.570007,65558000
4/24/2018,267.730011,267.980011,261.279999,262.980011,112885500
4/25/2018,262.910004,264.130005,260.850006,263.630005,103840900
4/26/2018,264.790009,267.25,264.290009,266.309998,67731900
4/27/2018,267,267.339996,265.5,266.559998,57053600
4/30/2018,267.26001,267.890015,264.429993,264.51001,82182300
5/1/2018,263.869995,265.100006,262.109985,264.980011,74203400
5/2/2018,264.76001,265.679993,262.76001,263.200012,86368900
5/3/2018,262.26001,263.359985,259.049988,262.619995,136311500
5/4/2018,261.519989,266.790009,261.149994,266.019989,91222100
5/7/2018,266.890015,268.019989,266.109985,266.920013,55304900
5/8/2018,266.5,267.329987,265.149994,266.920013,67499200
5/9/2018,267.679993,269.869995,267.089996,269.5,59666100
5/10/2018,270.339996,272.390015,270.220001,272.019989,72063900
5/11/2018,272.160004,273.149994,271.579987,272.850006,59871500
5/14/2018,273.339996,274.079987,272.359985,272.980011,54790600
5/15/2018,271.589996,271.609985,270.029999,271.100006,87036100
5/16/2018,271.140015,272.76001,271.109985,272.23999,53942600
5/17/2018,271.940002,273.230011,271.130005,272.01001,56536400
5/18/2018,271.619995,272.029999,270.929993,271.329987,64368000
5/21/2018,273.01001,273.980011,272.570007,273.369995,58025900
5/22/2018,273.959991,274.25,272.23999,272.609985,52966400
5/23/2018,271.170013,273.390015,270.98999,273.359985,64694200
5/24/2018,272.910004,273.220001,270.779999,272.799988,76043800
5/25/2018,272.149994,272.859985,271.579987,272.149994,56374800
5/29/2018,270.309998,271.170013,267.76001,269.019989,115908600
5/30/2018,270.5,273.109985,270.420013,272.609985,69678400
5/31/2018,272.149994,272.48999,270.26001,270.940002,93519900
6/1/2018,272.410004,273.940002,272.329987,273.600006,71258400
6/4/2018,274.529999,275.190002,274.26001,274.899994,45385200
6/5/2018,275.049988,275.529999,274.179993,275.100006,51135000
6/6/2018,275.790009,277.519989,275.089996,277.399994,62732200
6/7/2018,277.950012,278.279999,276.339996,277.369995,72969400
6/8/2018,276.850006,278.25,276.660004,278.190002,72139700
6/11/2018,278.440002,279.369995,278.309998,278.559998,58892500
6/12/2018,279.029999,279.329987,278.190002,278.920013,72329000
6/13/2018,279.190002,279.480011,277.799988,278.029999,79070600
6/14/2018,279.01001,279.329987,278.059998,278.730011,77097600
6/15/2018,276.600006,277.51001,275.350006,277.130005,120041600
6/18/2018,275.48999,276.700012,274.950012,276.559998,52917600
6/19/2018,274,275.75,273.529999,275.5,97531500
6/20/2018,276.269989,276.720001,275.589996,275.970001,53785500
6/21/2018,275.959991,275.980011,273.679993,274.23999,71061400
6/22/2018,275.660004,275.790009,274.48999,274.73999,54898500
6/25/2018,273.440002,273.619995,269.100006,271,137854200
6/26/2018,271.640015,272.559998,270.790009,271.600006,68547400
6/27/2018,272.26001,273.869995,269.179993,269.350006,105110700
6/28/2018,269.290009,271.75,268.48999,270.890015,76650500
6/29/2018,272.119995,273.660004,271.149994,271.279999,97592500
7/2/2018,269.51001,272.040009,269.23999,271.859985,63554800
7/3/2018,272.869995,272.980011,270.420013,270.899994,42187100
7/5/2018,272.170013,273.179993,270.959991,273.109985,56925900
7/6/2018,273.140015,275.839996,272.709991,275.420013,66493700
7/9/2018,276.549988,277.959991,276.5,277.899994,50550400
7/10/2018,278.410004,279.01001,278.079987,278.899994,51966800
7/11/2018,277.149994,278.040009,276.519989,276.859985,77054700
7/12/2018,278.279999,279.429993,277.600006,279.369995,60124700
7/13/2018,279.170013,279.929993,278.660004,279.589996,48216000
7/16/2018,279.640015,279.799988,278.839996,279.339996,48201000
7/17/2018,278.470001,280.910004,278.410004,280.470001,52315500
7/18/2018,280.559998,281.179993,280.059998,281.059998,44593500
7/19/2018,280.309998,280.73999,279.459991,280,61412100
7/20/2018,279.769989,280.480011,279.5,279.679993,82337700
7/23/2018,279.450012,280.429993,279.059998,280.200012,47047600
7/24/2018,281.790009,282.559998,280.630005,281.609985,68026900
7/25/2018,281.329987,284.369995,281.279999,284.01001,78882900
7/26/2018,283.200012,284.109985,283.089996,283.339996,57919500
7/27/2018,283.709991,283.820007,280.380005,281.420013,76768700
7/30/2018,281.51001,281.690002,279.359985,279.950012,63742500
7/31/2018,280.809998,282.019989,280.380005,281.329987,68570500
8/1/2018,281.559998,282.130005,280.130005,280.859985,53853300
8/2/2018,279.390015,282.579987,279.160004,282.390015,63426400
8/3/2018,282.529999,283.660004,282.329987,283.600006,53935400
8/6/2018,283.640015,284.98999,283.200012,284.640015,39400900
8/7/2018,285.390015,286.01001,285.23999,285.579987,43196600
8/8/2018,285.390015,285.910004,284.940002,285.459991,42114600
8/9/2018,285.529999,285.970001,284.920013,285.070007,35717000
